iter	Passed	Remaining
0	1	121
1	2	107
2	3	105
3	4	102
4	5	97
5	5	92
6	6	88
7	7	85
8	8	82
9	8	80
10	9	79
11	10	77
12	11	75
13	12	76
14	13	75
15	14	74
16	14	72
17	15	71
18	16	70
19	17	69
20	18	68
21	19	67
22	19	66
23	20	65
24	21	64
25	22	63
26	22	61
27	23	60
28	24	59
29	25	58
30	26	57
31	27	58
32	28	57
33	29	56
34	30	55
35	30	54
36	31	53
37	32	52
38	33	51
39	33	50
40	34	49
41	35	48
42	35	47
43	36	46
44	37	45
45	38	44
46	38	43
47	39	42
48	40	42
49	41	41
50	42	40
51	43	39
52	44	39
53	44	38
54	45	37
55	46	36
56	46	35
57	47	34
58	48	33
59	49	32
60	49	31
61	50	30
62	51	30
63	52	29
64	52	28
65	53	27
66	54	26
67	55	25
68	56	25
69	57	24
70	58	23
71	58	22
72	59	22
73	60	21
74	61	20
75	61	19
76	62	18
77	63	17
78	64	17
79	64	16
80	65	15
81	66	14
82	67	13
83	67	12
84	68	12
85	69	11
86	70	10
87	71	9
88	72	8
89	73	8
90	73	7
91	74	6
92	75	5
93	76	4
94	76	4
95	77	3
96	78	2
97	79	1
98	80	0
99	80	0
